id,name,description,stat_key,rarity,category,xp_reward,badge_image_url,icon_url,threshold,created_at
764d8ffb-87b0-4bb6-895c-73e194b03df1,10 Games,Play 10 games,games_played,common,Career,25,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_10-games_common.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_10-games_common.png,10,2026-01-23T16:01:46.954969+00:00
844da495-43b0-47cd-add8-d631d706a72c,10 Games Coached,Getting your reps,games_completed,common,Coaching,25,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_10-games-coached_common.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_10-games-coached_common.png,10,2026-02-26T00:27:18.078278+00:00
b01b46c0-2142-4ff8-84c8-b775b5d68da4,10 Seasons Complete,Complete 10 seasons,seasons_completed,epic,Career,200,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_10-seasons-complete_epic.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_10-seasons-complete_epic.png,10,2026-03-27T20:08:01.341737+00:00
f366841f-c219-4c11-984f-83151d847c4d,10 Teams,Create 10 teams in a season,teams_created,uncommon,Setup,50,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_10-teams_uncommon.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_10-teams_uncommon.png,10,2026-03-27T20:07:55.943551+00:00
fc980345-7039-461a-be2b-cf50db316e12,10 Wins,Winning is a habit,season_wins,uncommon,Winning,50,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_10-wins_uncommon.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_10-wins_uncommon.png,10,2026-03-27T20:07:42.023774+00:00
82a362a8-8afa-4e2c-8a78-feac828d3d63,100 Career Wins,Triple digits,career_wins,epic,Winning,200,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_100-career-wins_epic.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_100-career-wins_epic.png,100,2026-03-27T20:07:43.085685+00:00
3fd9ee79-ffa5-4400-a14c-fb8ea2776516,100 Games Coached,Coaching legend,career_games,epic,Coaching,200,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_100-games-coached_epic.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/coach/coach_100-games-coached_epic.png,100,2026-02-26T00:27:18.078278+00:00
a08b1e39-1d2f-4f7b-a2e1-5c0c18cc03ae,1K Lifetime Players,"1,000 total players all-time",lifetime_players,legendary,Growth,500,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_1k-lifetime-players_legendary.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin_1k-lifetime-players_legendary.png,1000,2026-03-27T20:08:18.368473+00:00
8b0eb9d5-8c9e-4693-a903-9ac99a03e65c,20 Bomb,20+ kills in one game,single_game_kills,legendary,Offensive,500,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_20-bomb_legendary.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_20-bomb_legendary.png,20,2026-03-27T20:08:28.04494+00:00
b2cb7478-fb34-49c8-9124-0475d534c860,20 Bomb,20+ kills in one game,single_game_kills,legendary,Offensive,500,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/badges/volleyball_single_game_kills_legendary.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_20-bomb_legendary.png,20,2026-03-27T20:07:31.680271+00:00
