badge_filename,badge_role,badge_number,badge_name,icon_description,frame_style,rarity,match_type,action,achievement_id,achievement_name,stat_key,category,xp_reward,threshold,storage_folder,new_badge_image_url,new_thumb_url
admin-001-launch-day.png,admin,001,Launch Day,Rocket ship launching diagonally upward,milestone,Common,EXACT,UPDATE_URL,6da0d2de-152a-48b4-a6a0-508bd16387c7,Launch Day,seasons_created,Growth,25,1,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-001-launch-day.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-001-launch-day-thumb.png
admin-002-second-season.png,admin,002,Second Season,Rocket ship launching diagonally upward,milestone,Common,NEW,CREATE_ACHIEVEMENT,,,seasons_created,Career,15,,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-002-second-season.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-002-second-season-thumb.png
admin-003-multi-season-admin.png,admin,003,Multi-Season Admin,Rocket ship launching diagonally upward,milestone,Uncommon,EXACT,UPDATE_URL,8634209f-04fd-4d92-bf26-07b197f2c634,Multi-Season Admin,seasons_created,Growth,50,5,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-003-multi-season-admin.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-003-multi-season-admin-thumb.png
admin-004-veteran-admin.png,admin,004,Veteran Admin,Rocket ship launching diagonally upward,milestone,Rare,EXACT,UPDATE_URL,0118c820-4da7-4d6e-8271-c8a4784d7e9d,Veteran Admin,seasons_created,Growth,100,10,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-004-veteran-admin.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-004-veteran-admin-thumb.png
admin-005-og-admin.png,admin,005,OG Admin,Rocket ship launching diagonally upward,milestone,Epic,EXACT,UPDATE_URL,8edd5a97-7e9a-451c-b089-b89ec3685112,OG Admin,seasons_created,Growth,200,20,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-005-og-admin.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-005-og-admin-thumb.png
admin-006-first-team.png,admin,006,First Team,Purple castle fortress with orange flag,community,Common,NEW,CREATE_ACHIEVEMENT,,,seasons_created,Community,15,,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-006-first-team.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-006-first-team-thumb.png
admin-007-5-teams.png,admin,007,5 Teams,Purple castle fortress with orange flag,community,Common,EXACT,UPDATE_URL,ce61ca7c-e01c-4220-9aa3-f935e1fef0a4,5 Teams,teams_created,Setup,25,5,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-007-5-teams.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-007-5-teams-thumb.png
admin-008-10-teams.png,admin,008,10 Teams,Purple castle fortress with orange flag,community,Uncommon,EXACT,UPDATE_URL,f366841f-c219-4c11-984f-83151d847c4d,10 Teams,teams_created,Setup,50,10,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-008-10-teams.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-008-10-teams-thumb.png
admin-009-empire-builder.png,admin,009,Empire Builder,Purple castle fortress with orange flag,community,Rare,EXACT,UPDATE_URL,09271a54-21b3-43cf-8756-9b53fef89c57,Empire Builder,teams_created,Setup,100,15,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-009-empire-builder.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-009-empire-builder-thumb.png
admin-010-coach-recruiter-i.png,admin,010,Coach Recruiter I,Org chart with three connected person icons,community,Common,EXACT,UPDATE_URL,4e205c36-7c23-4f7d-b4af-74d5035f6a2f,Coach Recruiter I,coaches_assigned,Setup,25,3,admin,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-010-coach-recruiter-i.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/admin/admin-010-coach-recruiter-i-thumb.png
